"Date","TotalKgActiveSubstanceSold","AverageAntibioticsRealPricePerKg"
2017-02-01,4.746,8550.40656736169
2017-03-01,5.876,8538.93158815725
2017-04-01,8.023,8512.48623384978
2017-05-01,7.458,8490.80216694478
2017-06-01,5.989,8504.27043900867
2017-07-01,6.554,8462.14112511138
2017-08-01,5.198,8450.50507008305
2017-09-01,6.441,8428.49970928832
2017-10-01,6.441,8445.61987504884
2017-11-01,6.102,8466.41214483599
2017-12-01,5.876,8405.05784804918
2018-01-01,5.989,8483.52207567252
2018-02-01,6.78,8445.83860319712
2018-03-01,4.181,8527.12350261662
2018-04-01,5.65,8506.7039226455
2018-05-01,5.763,8454.09647230005
2018-06-01,7.119,8445.02942060063
2018-07-01,5.763,8393.08346231824
2018-08-01,6.441,8702.56256370172
2018-09-01,7.684,8739.39864233779
2018-10-01,9.944,8754.70627166706
2018-11-01,8.927,8761.09528836397
2018-12-01,8.249,8732.78632461873
2019-01-01,8.475,9041.41321421876
2019-02-01,7.006,8977.55529828624
2019-03-01,7.006,8951.31208250695
2019-04-01,8.927,8895.43887442606
2019-05-01,8.701,8881.86755561809
2019-06-01,6.441,8881.65373774544
2019-07-01,8.701,8859.38516305622
2019-08-01,6.554,8883.77859883285
2019-09-01,8.701,8842.52634518147
2019-10-01,9.605,8847.94849476597
2019-11-01,10.509,8833.93530279179
2019-12-01,8.701,8814.76832757094
2020-01-01,11.3,9166.82410912805
2020-02-01,9.153,9123.13024386253
2020-03-01,13.334,9138.73392611107
2020-04-01,10.283,9165.32636451505
2020-05-01,9.605,9102.53157432601
2020-06-01,11.187,9050.37658697756
2020-07-01,9.266,9039.24577288751
2020-08-01,11.074,9051.38647700759
2020-09-01,13.447,9038.83787338789
2020-10-01,12.543,9046.88503296293
2020-11-01,11.639,9052.81086330286
2020-12-01,11.526,8987.02185165738
2021-01-01,10.283,9066.09702783523
2021-02-01,9.831,9252.35773081643
2021-03-01,13.899,9229.62925895057
2021-04-01,12.769,9207.12259771446
2021-05-01,12.543,9189.03447860679
2021-06-01,11.3,9185.08197741407
2021-07-01,9.605,9163.20202144178
2021-08-01,12.543,9143.15766467209
2021-09-01,11.3,9290.66779425531
2021-10-01,11.526,9270.61090658667
2021-11-01,13.447,9228.25745619023
2021-12-01,15.142,9112.01078808942
2022-01-01,5.085,9285.78712324083
2022-03-01,14.125,9091.87573430669
2022-04-01,12.091,9035.54832202589
2022-05-01,9.718,8941.69045853103
2022-06-01,13.447,8818.03262849394
2022-07-01,10.961,8810.19501061146
2022-08-01,10.283,8657.92118668067
2022-09-01,10.735,8532.6582460396
2022-10-01,13.108,8517.4700644199
2022-11-01,13.221,8432.06043239717
2022-12-01,11.752,8261.05971194015
2023-01-01,15.594,8812.82525567762
2023-02-01,12.543,8770.3617286815
2023-03-01,12.995,8717.47712606509
2023-04-01,10.848,8679.81277254493
2023-05-01,13.899,8652.55246173605
2023-06-01,11.526,8921.08346349097
2023-07-01,8.362,8931.82413623175
2023-08-01,11.413,8926.54071410985
2023-09-01,8.927,8882.14421520567
2023-10-01,12.204,8857.58695906604
2023-11-01,12.769,8831.12211079395
2023-12-01,11.413,8766.08384706327
2024-01-01,10.283,9000.00847744075
2024-02-01,9.718,9008.15914830709
2024-03-01,9.379,8997.28655724314
2024-04-01,11.074,8970.43544934667
2024-05-01,10.509,9177.50512558703
2024-06-01,8.475,9194.54002772376
2024-07-01,9.944,9186.58741994427
2024-08-01,6.893,9240.75937920926
2024-09-01,10.396,9220.23317215259
2024-10-01,13.673,9202.28494122694
2024-11-01,11.3,9142.86789367788
2024-12-01,11.978,9175.785116578
2025-01-01,11.752,9351.79021165315
2025-02-01,8.927,9300.88495575221
