"Date","TotalKgActiveSubstanceSold","AverageAntibioticsRealPricePerKg","AvrakningsprisKrPerKg","RealAvrakningsprisKrPerKg","headCount","companyCount","ln_AverageAntibioticsRealPricePerKg","ln_TotalKgActiveSubstanceSold","ln_headCount","ln_RealAvrakningsprisKrPerKg","ln_companyCount"
2005-01-01,55.2,2508.30638823266,1178.8,1627.92955908522,1814037,2973,7.82736305865844,4.01096295328305,14.4110653063621,7.39506427725121,7.9973268229981
2005-02-01,51.195,2513.06200014496,1178.8,1627.92955908522,1813458,2936,7.82925720900406,3.93564187102678,14.4107460778008,7.39506427725121,7.98480338973441
2005-03-01,55.26,2495.49375659207,1208.83,1669.40116127331,1812935,2903,7.82224188704,4.01204931949527,14.4104576369156,7.42022025503956,7.97349996402463
2005-04-01,53.565,2571.98612850911,1178.8,1627.92955908522,1812356,2866,7.85243369207279,3.98089586971452,14.4101382142789,7.39506427725121,7.96067260838812
2005-05-01,53.745,2516.8211882548,1173.26,1620.27878731958,1811795,2831,7.83075195099664,3.98425063942503,14.409828624527,7.3903535043585,7.9483852851119
2005-06-01,57.615,2508.41047545794,1180.3,1630.00106768602,1811216,2794,7.82740455481145,4.05378295046598,14.4095090008742,7.39633594882269,7.93522953981691
2005-07-01,46.575,2533.16413248081,1211.83,1673.54417847492,1800475,2784,7.83722444556557,3.84106391648765,14.4035610769427,7.42269891915261,7.93164402145431
2005-08-01,48.465,2559.08634301347,1233.84,1703.94011467739,1789376,2774,7.84740557651026,3.88084188794457,14.3973775136887,7.44069856280303,7.92804560087478
2005-09-01,53.415,2458.5626113862,1258.86,1738.4928781388,1778277,2765,7.80733215383956,3.97809160539785,14.3911554759474,7.46077385488433,7.92479591395644
2005-10-01,56.61,2423.59526915684,1261.11,1741.60014104001,1767536,2755,7.79300736507885,4.03618564804857,14.3850970442965,7.46255959090334,7.92117272158701
2005-11-01,59.46,2449.28340271293,1296.67,1790.7087049364,1756437,2745,7.80355077206701,4.08530381756995,14.3787978832643,7.49036674502283,7.91753635394363
2005-12-01,61.71,2442.00761845482,1293.9,1786.88331905358,1745696,2735,7.80057577442615,4.12244599233298,14.3726638879658,7.48822821870958,7.91388671485608
2006-01-01,51.69,2503.31451608545,1225.69,1692.68491794635,1734598,2725,7.82537093918517,3.94526433920795,14.3662862442283,7.43407125609826,7.91022370709734
2006-02-01,46.725,2521.59028240078,1225.69,1692.68491794635,1723499,2715,7.83264504591279,3.84427935334163,14.3598670847242,7.43407125609826,7.90654723236804
2006-03-01,70.17,2486.79492177063,1225.69,1692.68491794635,1713474,2706,7.8187499803192,4.2509208692642,14.3540334465604,7.43407125609826,7.90322680873073
2006-04-01,51.795,2446.5618062268,1225.69,1692.68491794635,1702375,2697,7.80243897353159,3.94729361951007,14.3475348928713,7.43407125609826,7.89989532313973
2006-05-01,72.645,2476.19421681411,1225.69,1692.68491794635,1691634,2687,7.81447807047547,4.2855845645233,14.3412054836927,7.43407125609826,7.89618060861549
2006-06-01,60.27,2428.47918990555,1225.69,1692.68491794635,1680535,2677,7.79502049263463,4.09883446749495,14.3346227530652,7.43407125609826,7.89245204352035
2006-07-01,47.775,2418.17454655385,1225.69,1692.68491794635,1680189,2644,7.7907682149027,3.86650249012634,14.3344168450518,7.43407125609826,7.88004820097158
2006-08-01,69.54,2382.20832010251,1225.69,1692.68491794635,1679832,2610,7.77578320205363,4.24190212657972,14.3342043463791,7.43407125609826,7.86710550031674
2006-09-01,45.255,2513.75347648924,1290.51,1782.20170961576,1679474,2576,7.82953232407516,3.81231316127913,14.3339912071168,7.48560479445083,7.85399308722424
2006-10-01,61.305,2447.93798868276,1290.51,1782.20170961576,1679128,2543,7.80300131189093,4.11586140568435,14.3337851690085,7.48560479445083,7.84109976542212
2006-11-01,52.53,2415.25369791999,1263.26,1744.56930336782,1678771,2509,7.78955961146776,3.96138443496587,14.3335725360489,7.4642629866178,7.82763954636642
2006-12-01,52.77,2446.70407621517,1263.26,1744.56930336782,1678425,2476,7.80249712282976,3.96594284741758,14.3333664116515,7.4642629866178,7.81439963380449
2007-01-01,60.435,2413.67995207384,1147.61,1584.85599024583,1678068,2442,7.78890781294828,4.10156840731142,14.333153689622,7.36824882429449,7.80057265467065
2007-02-01,40.485,2560.94987049696,1162.33,1605.18439464839,1677710,2409,7.84813351181699,3.70093153513808,14.3329403262819,7.38099391659643,7.78696700261487
2007-03-01,66.18,2453.06039362552,1162.33,1605.18439464839,1677388,2378,7.80509166426749,4.19237830249347,14.3327483795782,7.38099391659643,7.77401507725073
2007-04-01,72.9,2309.79421596198,1162.33,1605.18439464839,1677030,2344,7.74491371554848,4.28908863901461,14.332534929733,7.38099391659643,7.7596141506969
2007-05-01,68.235,2439.42693047265,1157.16,1598.04459500428,1676684,2311,7.79951842614186,4.22295762969008,14.3323285913265,7.37653603269796,7.74543561027438
2007-06-01,54.795,2422.83518586207,1157.16,1598.04459500428,1676327,2277,7.79269369781051,4.00359894891536,14.3321156483918,7.37653603269796,7.73061406606374
2007-07-01,64.56,2409.83382603847,1164.51,1608.19498714822,1670832,2265,7.78731307225615,4.16759502396169,14.3288322639235,7.38286770305175,7.72533003791713
2007-08-01,66.555,2471.03970571875,1190.12,1643.56254399262,1665154,2252,7.81239427454375,4.19802867349898,14.325428169612,7.40462144774533,7.71957398925958
2007-09-01,51.81,2470.31744255158,1211.61,1673.24035721347,1659476,2240,7.81210194061578,3.9475831808267,14.3220124478502,7.42251735905572,7.71423114484909
2007-10-01,72.15,2293.59337615387,1310.96,1810.44327687339,1653981,2227,7.7378750265958,4.27874728521988,14.3186956671963,7.50132699862564,7.70841066725737
2007-11-01,59.445,2379.45004478237,1356.34,1873.11331707639,1648303,2215,7.77462466634304,4.08505151531051,14.3152568317748,7.53535720092176,7.70300768247924
2007-12-01,54.63,2309.10055160991,1306.3,1804.00779015356,1642808,2202,7.74461335609359,4.00058318240763,14.3119175307873,7.49776601888019,7.69712131728263
2008-01-01,57.465,2319.26444858548,1207.92,1668.14444605549,1637130,2190,7.74900536636651,4.05117606682072,14.3084552667616,7.41946717752388,7.69165682281055
2008-02-01,63.81,2374.68001174919,1210.87,1672.21841297041,1631452,2177,7.7726179754965,4.15590991788026,14.3049809738043,7.42190641488031,7.68570306123455
2008-03-01,44.22,2389.41552484977,1294.89,1788.25051473011,1626140,2165,7.7788040647462,3.7891771754293,14.3017196662444,7.48899305482858,7.68017564043659
2008-04-01,65.22,2377.76632901937,1311.96,1811.82428260726,1620462,2153,7.77391680876373,4.17776617036117,14.2982218517362,7.50208950762206,7.67461749736436
2008-05-01,69.45,2331.95166485754,1375.18,1899.13146510248,1614967,2141,7.75446082035058,4.24060706920035,14.2948250809936,7.5491519370114,7.66902828858968
2008-06-01,67.08,2373.53089404134,1449.62,2001.93353193172,1609289,2128,7.77213395414485,4.20588593695501,14.2913030245132,7.6018687584907,7.66293785046154
2008-07-01,60,2364.23487471451,1460,2016.26837144929,1602668,2105,7.7682097283768,4.0943445622221,14.2871802984755,7.60900374109005,7.65207074611648
2008-08-01,61.89,2302.95594506322,1532.45,2116.32223686812,1595827,2082,7.74194877026873,4.12535861575127,14.2829026551266,7.65743506723838,7.64108424917491
2008-09-01,64.65,2347.40759995907,1568.03,2165.45842087919,1588986,2059,7.76106684926795,4.16898810521787,14.2786066349074,7.68038735976805,7.62997570702779
2008-10-01,83.775,2172.42836894294,1531.01,2114.33358861135,1582365,2036,7.6836008848781,4.42813463362337,14.2744311213047,7.65649495370266,7.61874237767041
2008-11-01,65.79,2308.06664056818,1508.92,2083.82717195017,1575524,2013,7.74416550094086,4.18646785109791,14.2700984733227,7.64196146850828,7.60738142563979
2008-12-01,78.375,2282.05078437118,1397.59,1930.0798035985,1568904,1990,7.73282978450007,4.36150499895308,14.2658878443748,7.56531663005885,7.59588991771854
2009-01-01,76.545,2270.05097699884,1356.76,1873.69333948461,1562062,1967,7.72755756705098,4.33787880318404,14.2615173012957,7.53566680985865,7.58426481838906
2009-02-01,60.045,2297.28610517555,1452.64,2006.10416924801,1555221,1943,7.7394837509516,4.09509428111265,14.2571282156836,7.60394989601112,7.57198844937744
