"Date","headCount"
2024-03-01,1329093
2024-04-01,1331988
2024-05-01,1334790
2024-06-01,1337685
2024-07-01,1337685
2024-08-01,1337685
2024-09-01,1337685
2024-10-01,1337685
2024-11-01,1337685
2024-12-01,1337685
